ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;15091;10322;10494;12266;10400;8542;6216;6272;5877;10444;10409;11525;11425;11385;12818;11365;11454;14554;12626;11405
LC08_199034_20140316;LC08;2014;3;16;16/03/2014;74;20;0;11,47851381;0,57392569;0,781113207;0,403917402;0,561904639;0,377195805;0,008933614;0,094517797;0,781113207;0,753566802;0,551981628;0,525761783;0,564453125;0,449596167;0,470004737;0,581045508;0,67813766;0,403917402;0,543283582;0,538254142;0,664717376;0,559356153;0,623260438;0,505764782;0,623338282;0,501718223;0,587103486;0,572139323
LC08_199034_20140417;LC08;2014;4;17;17/04/2014;106;20;0;10,95686003;0,547843002;0,715555549;0,467256635;0,518008173;0,248298914;0,005351934;0,073156914;0,715555549;0,621951222;0,476459503;0,467256635;0,499587804;0,494318187;0,491358012;0,558394134;0,608877718;0,480632424;0,493681908;0,523499846;0,614556253;0,677595615;0,572234273;0,620977342;0,501262009;0,55274564;0,512516499;0,47339946
LC08_199034_20140503;LC08;2014;5;3;03/05/2014;122;20;0;11,20167553;0,560083777;0,707664907;0,449653476;0,553654969;0,258011431;0,007143209;0,084517509;0,707664907;0,666048229;0,486933798;0,449653476;0,487040609;0,467155188;0,617201269;0,533865929;0,638877928;0,577162623;0,472545087;0,510002732;0,602146685;0,640309155;0,573444009;0,679309428;0,47335422;0,652311563;0,49237287;0,474275827
LC08_199034_20140519;LC08;2014;5;19;19/05/2014;138;13;7;6,812902956;0,524069458;0,637767613;0,403947383;0,534365296;0,23382023;0,006721626;0,081985521;;0,578071833;0,436256438;0,403947383;;;0,567261934;0,534365296;0,592178762;;;;;0,637767613;0,52578795;0,60276258;0,441362917;0,615259767;0,449416339;0,428464144
LC08_199034_20140604;LC08;2014;6;4;04/06/2014;154;20;0;10,10493699;0,505246849;0,680840433;0,340234637;0,532574892;0,340605796;0,008608434;0,092781647;0,609080434;0,59591192;0,442942947;0,340234637;0,440588862;0,530806899;0,418466359;0,536553502;0,625046849;0,475218654;0,445331216;0,534342885;0,539677322;0,584681273;0,550806463;0,680840433;0,398367673;0,567258477;0,403379858;0,385400325
LC08_199034_20140620;LC08;2014;6;20;20/06/2014;170;20;0;9,053156526;0,452657826;0,601346076;0,328624278;0,466853932;0,272721798;0,006361162;0,079756891;0,583785713;0,514668584;0,414651752;0,328624278;0,409781903;0,365047574;0,49686718;0,44702515;0,49777627;0,462822467;0,359073371;0,470885396;0,490956068;0,601346076;0,472567677;0,517440319;0,360817224;0,536085546;0,355571836;0,367362142
LC08_199034_20140706;LC08;2014;7;6;06/07/2014;186;19;1;9,214546593;0,484976136;0,619589984;0,324333012;0,48402366;0,295256972;0,00766732;0,087563236;0,619589984;0,563226998;0,436708868;0,324333012;0,452389032;0,543110192;;0,47115016;0,599865258;0,48402366;0,413182676;0,422373235;0,508143306;0,581429243;0,507869482;0,561803699;0,400228918;0,581995606;0,379873753;0,363249511
LC08_199034_20140722;LC08;2014;7;22;22/07/2014;202;20;0;10,27997571;0,513998786;0,665612638;0,371449918;0,518404186;0,29416272;0,008990534;0,094818428;0,665612638;0,611626983;0,487969935;0,371449918;0,459101975;0,371511072;0,587195098;0,500331342;0,602653861;0,542540073;0,402985066;0,525821567;0,544167221;0,587752879;0,510986805;0,62332505;0,411032766;0,647776783;0,405275792;0,42085889
LC08_199034_20140807;LC08;2014;8;7;07/08/2014;218;15;5;7,022521705;0,468168114;0,621801436;0,304644823;0,500390708;0,317156613;0,007830758;0,08849157;;;;0,304644823;0,444325864;0,500390708;;0,501493514;0,609100282;0,404079229;0,424425632;0,50967741;0,504761934;;0,525220156;0,621801436;0,397141606;0,520937026;0,374714404;0,379807681
LC08_199034_20140823;LC08;2014;8;23;23/08/2014;234;13;7;6,687979609;0,51445997;0,679402709;0,374165684;0,505636096;0,305237025;0,010892341;0,10436638;0,679402709;0,624555171;0,465976924;0,374165684;0,469641536;;;;0,582556844;0,520740271;0,413595408;;;0,679000258;0,505636096;0,559357166;0,413270146;;;0,400081396
LC08_199034_20140908;LC08;2014;9;8;08/09/2014;250;20;0;10,61362073;0,530681037;0,719298244;0,398066789;0,526233733;0,321231455;0,009334941;0,096617497;0,719298244;0,689223051;0,516270876;0,421686739;0,510324478;0,445181042;0,555479467;0,528657913;0,633693278;0,587230861;0,428213686;0,417300642;0,53239435;0,619631886;0,523809552;0,584030211;0,430113316;0,637699664;0,435314685;0,398066789
LC08_199034_20140924;LC08;2014;9;24;24/09/2014;266;5;15;2,197917522;0,439583504;0,539192379;0,366336644;0,425718844;0,172855735;0,004328251;0,065789443;;;;0,366336644;0,539192379;;;;;;0,462962955;;;;;;;;0,425718844;0,4037067
LC08_199034_20141010;LC08;2014;10;10;10/10/2014;282;9;11;4,183191925;0,464799103;0,683609962;0,246306747;0,51131928;0,437303215;0,02509003;0,158398327;;0,683609962;0,252132207;0,51131928;;;0,558058918;;0,611111104;;;0,443305194;;;;0,552208841;;;0,246306747;0,325139672
LC08_199034_20141026;LC08;2014;10;26;26/10/2014;298;11;9;5,803315551;0,527574141;0,650635719;0,374693304;0,516773164;0,275942415;0,007305116;0,085469969;0,626136363;0,650635719;0,553026378;;0,516773164;;;0,576478839;0,618608952;0,449526817;;0,488655597;;;;;0,481918812;;0,466861606;0,374693304
LC08_199034_20141213;LC08;2014;12;13;13/12/2014;346;14;6;8,499466302;0,607104736;0,838283837;0,486081362;0,588459641;0,352202475;0,009101055;0,095399452;0,838283837;;;0,62457335;;0,549862266;0,552845538;;0,734734058;;0,572072089;0,533213615;0,677009344;0,612061918;0,649474204;0,597040892;0,486081362;0,492335439;;0,57987839
LC08_199034_20141229;LC08;2014;12;29;29/12/2014;362;13;7;7,657396824;0,589030525;0,713616848;0,453093827;0,600000024;0,260523021;0,007005564;0,083699248;;;;;0,699941635;0,575291634;;;;0,530100346;0,611976027;0,479323298;0,713616848;0,453093827;0,702400029;0,586837292;0,600000024;0,498652279;0,602649033;0,603514552
LC08_199034_20150130;LC08;2015;1;30;30/01/2015;29;13;7;7,780337065;0,598487467;0,874852419;0,451002866;0,558011055;0,423849553;0,013953894;0,1181266;;;0,574425578;0,53556484;0,675985634;;0,665185213;;0,874852419;0,490304708;;0,451002866;0,598729491;0,558011055;0,762711883;0,514887452;0,542997539;0,535678387;;
LC08_199034_20150215;LC08;2015;2;15;15/02/2015;45;1;19;0,519689381;0,519689381;0,519689381;0,519689381;0,519689381;0;;;;;;0,519689381;;;;;;;;;;;;;;;;
LC08_199034_20150404;LC08;2015;4;4;04/04/2015;93;9;11;4,877618611;0,541957623;0,67928344;0,358502328;0,528010607;0,320781112;0,012964339;0,113861053;0,649703145;0,656000018;0,437475026;;;;;;0,5055269;0,358502328;;0,67928344;;;;;0,615018487;;0,44809866;0,528010607
LC08_199034_20150420;LC08;2015;4;20;20/04/2015;109;18;2;10,78398967;0,599110537;0,745369136;0,413219213;0,616811127;0,332149923;0,007499574;0,086600083;0,618181825;0,655369937;0,492869884;;0,510153353;0,679592431;0,503422081;0,592443705;0,652173936;0,612745106;;0,745369136;0,615853667;0,669683278;0,622535229;0,699876249;0,617768586;0,601183891;0,413219213;0,48154816
LC08_199034_20150506;LC08;2015;5;6;06/05/2015;125;11;9;6,089270948;0,553570086;0,686731815;0,39866963;0,568067253;0,288062185;0,008427845;0,091803297;0,629853308;0,568067253;0,461054295;;0,479482442;;0,537055194;0,578330874;0,634615362;0,644268751;0,471142024;;;;;;;0,686731815;0,39866963;
LC08_199034_20150522;LC08;2015;5;22;22/05/2015;141;6;14;3,108158589;0,518026432;0,691939354;0,398543179;0,464446575;0,293396175;0,015925297;0,12619547;;;;0,398543179;0,495523304;;;;;0,658499241;0,433369845;;;;;;;0,691939354;;0,430283666
